M2060150,"Drilled Shaft Foundation (60"" Diameter)",Lin. Ft.,
M2060155,"Drilled Shafts, 5'-6""",Lin. Ft.,
M2060160,"Drilled Shafts 6'-0""",Lin. Ft.,
M2060165,"Drilled Shafts 6'-6""",Lin. Ft.,
M2060180,"Drilled Shaft Foundation (96"" Diameter)",Lin. Ft.,
M2061000,Plaza Excavation,Job,
21,,,
M215111,Re-Grade Drainage Swale,L.S.,
211,Fill Construction,,
M2111000,Borrow Fill,Cu. Yd.,
M2112000,Fill Construction,Job,
M2112001,Dike Embankment,Cu. Yd.,
M2112002,Roadway Embankment,Cu. Yd.,
M2112003,Dike Keyway,Cu. Yd.,
M2112004,Sand Filter Material,Ton,
M2112005,Fill Construction,Cu. Yd.,
M2112010,Construction Water,Month,
M2112050,Channel Fill,Job,
M2112200,Earthen Dike,Lin. Ft.,
M2112500,Temporary Shoring,Sq. Ft.,
M2112501,Temporary Shoring,Each,
M2113000,Structural Backfill,Cu. Yd.,
215,Earthwork for Open Channels,,
M2150009,"Drainage Way, Concrete, 9"" Thick",Sq. Ft.,
M2150010,Backfill and Compact Ditch,Lin. Ft.,
M2150020,"Remove Concrete Lining, Backfill and Compact Ditch DO NOT USE!!! USE M3500305",Lin. Ft.,
M2150030,Gunite Lining Per Plans  DO NOT USE!!!! USE M525XXXX,Sq. Ft.,
M2150031,Shotcrete Ramp Per Plans,Cu. Yd.,
M2150032,"Shotcrete Slope Protection, 4"" Thick w/ Welded Wire Fabric",Sq. Yd.,
M2150035,Shotcrete Channel,Sq. Yd.,
M2150040,Channel Repairs,Lump Sum,
M2150100,"Grader Ditch, Depth Per Plans",Lin. Ft.,
M2150110,Grade Drainage Swale,Lin. Ft.,
M2150115,Grade Drainage Swale,Cu. Yd.,
M2150200,"Irrigation Dike, 1 Foot Crown",Lin. Ft.,
M2150500,Channel Grading,Sq. Yd.,
M2151000,Earth Berm Relocation,L. F.,
M2151001,"Earth Berm, 6-inches High",Lin. Ft.,
M2151002,"Earth Berm, 8-inches High",Cu. Yd.,
M2152000,Channel Excavation,Job,
M2152001,Channel Excavation,Cu. Yd.,
M2152010,Earth Channel,Lin. Ft.,
M2152050,Haul of Excavated Material from Site,Cu. Yd.,
M2153000,"Install Irrigation Ditch, Unlined",Lin. Ft.,
M2155000,Allowance for Construction of Diversion Channels,Job,
220,Riprap Construction,,
M2200001,"Rip Rap, Depth Per Plans",Cu. Yd.,
M2200002,Embedded Rip Rap,Cu. Yd.,
M2200003,"Rip-Rap, D50=3""",Cu. Yd.,
M2200004,"Rip-Rap, D50=4""",Cu. Yd.,
M2200006,Rip Rap W/ Filter Fabric Per Plans,Sq. Yd.,
M2200007,"Rip-Rap, D50=6""",Cu. Yd.,
M2200008,"Rip Rap, D50= 8""",Cu. Yd.,
M2200009,"Rip-Rap, D50=9""",Cu. Yd.,
M2200012,"Rip Rap, D50= 12""",Cu. Yd.,
M2200016,"Rip Rap, D50=16""",Cu. Yd.,
M2200018,"Rip Rap, D50 = 18""",Cu. Yd.,
M2200024,"Rip-Rap, D50=24""",Cu. Yd.,
M2200036,"Rip Rap, D50=36""",Cu. Yd.,
M2200042,"Rip-Rap, D50=42""",Cu. Yd.,
M2201000,Rip Rap Per Detail,Cu. Yd.,
M2202000,"Salvage and Install Existing Rip-Rap Boulders greater than 24""",Cu. Yd.,
M2204000,Plain Riprap,Sq. Ft.,
M2204001,"Rock Riprap, see plans/specs",Sq. Ft.,
M2205000,Grouted Riprap,Cu. Yd.,
M2205001,Grouted Rip-Rap as Detailed,Sq. Yd.,
M2205005,Replace Grouted Rip Rap per MAG Section 220,Sq. Ft.,
M2205010,Sawcut and Remove Grouted Rip Rap,Sq. Ft.,
M2205011,Remove Existing Loose Riprap,Sq. Ft.,
M2205015,Allowance for Rip-Rap Bank Protection,Job,
M2205049,"Rock Wall, including Footing",Lin. Ft.,
M2205050,Grouted Rock Piles as Detailed,Each,
M2205051,Rock Lining,Sq. Yd.,
M2205052,Rock Pattern at Bridge,Job,
M2205053,7'-10' Boulders East of 7th Avenue,Job,
M2205054,Boulders at Wing Wall,Job,
M2205055,Architectural Gabions,Sq. Yd.,
M2205056,Gabions,Sq. Yd.,
M2205057,Grout Existing Boulder Basins,Job,
M2205058,Boulder Apron at Drop,Job,
M2205059,Gravel Spread on Channel Bottom,Sq. Yd.,
M2205060,"Gabion Mattress, 1'-Thick",Cu. Yd.,
M2205063,"Gabion Baskets, 3'X3'",Lin. Ft.,
M2205065,Gabions,Cu. Yd.,
M2205067,Gabion Mattress,Sq. Yd.,
M2205156,Wire-tied Rip Rap,Sq. Yd.,
M2205159,"Percolation Gravel Pad, per plans",Job,
M2206000,"6"" -12"" River Run Cobbles",Ton,
225,Watering,,
M2251000,Prewet Borrow Area,Job,
M225NNNN,,,
300,Streets And Related Work,,
M3000010,Paving Fabric,Sq. Yd.,
M3000011,Geotextile Fabric,Sq. Yd.,
M3000015,Jute Matting,Sq. Yd.,
M3000018,Polystrene Sheeting,Sq. Ft.,
M3000020,Geogrid,Sq. Yd.,
M3000022,Geomembrane,Sq. Yd.,
M3000024,Geofoam,Cu. Yd.,
M3000026,Geofoam Concrete Slab,Sq. Ft.,
M3000050,Asphalt Concrete Pavement Milling,Sq. Yd.,
M3000051,"Asphalt Concrete Pavement Milling (1"" depth)",Sq. Yd.,
M3000052,"Asphalt Concrete Pavement Milling (1.5"" depth)",Sq. Yd.,
M3000053,"Asphalt Concrete Pavement Milling (1.25"" depth)",Sq. Yd.,
M3000054,"Asphalt Concrete Pavement Milling (2"" Depth)",Sq. Yd.,
M3000055,"Asphalt Concrete Pavement Milling (3.5"" depth)",Sq. Yd.,
M3001000,"Remove, Salvage and Deliver, Re-use or Dispose of Various Items as Noted on Plans, Not Covered in These Bid Items DO NOT USE !!",Job,
M3001001,Sawcut & Remove Existing Asphalt Pavement,Sq. Yd.,
M3001002,Sawcut & Remove Existing Curb & Gutter,Lin. Ft.,
M3001003,Sawcut & Remove Existing Sidewalk & Ramp,Sq. Ft.,
M3001004,Sawcut & Remove Existing Apron,Sq. Ft.,
M3001005,Sawcut & Remove Existing Sidewalk,Sq. Ft.,
M3001006,"Sawcut & Remove Existing Median, Signs, Railing",Sq. Ft.,
M3002000,Relocate Light Pole,Each,
M3002220,Permanent Pavement Replacement (Asphalt Parking Areas or Asphalt Driveways),Sq. Yd.,
M3005000,Construct Embankment and Access Roadway per Plans and Special Provisions,Lump Sum,
M3005011,Construct Downstream Ramp per Plans and Specifications,Lump Sum,
M3005012,Construct Upstream Ramp per Plans and Specifications,Lump Sum,
301,Subgrade Preparation,,
M3010001,Subgrade Preparation,Sq. Yd.,
M3010002,Subgrade Preparation (Includes Lime Slurry Stabilization),Sq. Yd.,
M3010003,Regrade and Repave Entire Intersection For Concrete Valley Gutter,Each,
M3010100,Replace Unuitable Subgrade Materials (Contingent),Cu. Yd.,
M3010101,Removal of Degraded Asphalt Millings,Ton,
M3011005,Clean and Crack Fill Existing Pavement,Sq. Ft.,
310,Untreated Base,,
M3100000,Aggregate Base Course,Ton,
M3100002,Asphalt Pavement Millings,Ton,
M3100005,Trail Surfacing (Type A Select Material),Sq. Yd.,
M3100006,Asphaltic Concrete Friction Course for Trails ( Asphalt-Rubber),Sq. Yd.,
M3100008,Lightweight Cellular Concrete Backfill,Cu. Yd.,
M3100009,1/2 Sack CLSM (Mag 728),Cu. Yd.,
M3100010,"Untreated Base, Select",Ton,
M3100015,1 Sack CLSM (Mag 728),Cu. Yd.,
M3100020,"Aggregate Base Course, Treated",Ton,
315,Bituminous Prime Coat,,
M315NNNN,,,
317,Asphalt Milling,,
M3170111,"Asphalt Milling, 1"" Depth",Sq. Yd.,
320,Road-Mixed Surfacing,,
M3200127,"Asphalt concrete Surface Course PMAR (Terminal Bend), Type D 1/2, 1-1/2"" Thick",Ton,
321,Asphalt Concrete Pavement,,
M3210100,"Asphalt Concrete Surface Course, Type D 1/2 For Driveway, Sidewalk and Parking Lot Connections",Ton,
M3210101,"Asphalt Concrete Surface Course, Type C-3/4""For Driveway, Sidewalk and Parking Lot Connections",Ton,
M3210102,"Asphalt Concrete Surface Course, Type C 3/4 For Driveway, Sidewalk and Parking Lot Connections",Ton,
M3210110,Colored Stamped Asphalt,Sq. Yd.,
M3210111,StreetBond Surfacing System SP150 E,Job,
M3210112,Rehabilitate Existing Asphalt Pavement Area Between Concrete Pavement with Elastically Modified Hot Concrete,Job,
M3210114,Asphalt Concrete 12.5 MM For Items 1 - 7,Ton,
M3210115,"Asphalt Concrete Surface Course, Type D 1/2, 1-1/2"" Thick",Ton,
M3210116,"Asphalt Concrete Surface Course, Type D 1/2, 1-1/4"" Thick",Ton,
M3210120,"Asphalt Concrete Surface Course, Type D 1/2, 2"" Thick",Ton,
M3210125,"Asphalt Concrete Surface Course, Type D 1/2, 2-1/2"" Thick",Ton,
M3210130,"Asphalt Concrete Surface Course, Type D 1/2, 3"" Thick",Ton,
M3210135,"Asphalt Contrete Surface Course. Type D 1/2, 3-1/2"" Thick",Ton,
M3210145,"Asphalt Concrete Surface Course, Type D 1/2, 1 1/2"" Thick",Sq. Ft.,
M3210150,"Asphalt Concrete Surface Course, Type D 1/2, 5 1/2"" Thick",Ton,
M3210200,"Asphalt Concrete Surface Course, Type C 3/4",Ton,
M3210201,"Asphalt Concrete, Type C 3/4",Ton,
M3210215,"Asphalt Concrete Surface Course, Type C 3/4, 1-1/2"" Thick",Ton,
M3210220,"Asphalt Concrete Surface Course, Type C 3/4, 2"" Thick",Ton,
M3210225,"Asphalt Concrete Surface Course, Type C 3/4, 2-1/2"" Thick",Ton,
M3210230,"Asphalt Concrete Surface Course, Type C 3/4, 3"" Thick",Ton,
M3210235,"Asphalt Concrete Surface Course, Type C 3/4, 3-1/2"" Thick",Ton,
M3210237,"Asphalt Concrete Surface Course, Type C 3/4, 3-3/4"" Thick",Ton,
M3210240,"Asphalt Concrete Surface Course, Type C 3/4, 4"" Thick",Ton,
M3210241,"Asphalt Concrete Surface Course, Type C 3/4, 4 1/2"" thick",Ton,
M3210242,"Asphalt Concrete Surface Course, Type C 3/4, 7"" Thick",Ton,
M3210243,"Asphalt Concrete Surface Course, Type C 3/4, 7-1/2"" Thick",Ton,
M3210245,"Asphalt Concrete Surface Course, Type C 3/4, 4-1/2"" Thick",Ton,
M3210250,"Asphalt Concrete Surface Course, Type C 3/4, 5"" Thick",Ton,
M3210255,"Asphalt Concrete Surface Course, Type C 3/4, 5-1/2"" Thick",Ton,
M3210260,"Asphalt Concrete Surface Course, Type C 3/4, 6"" Thick",Ton,
M3210265,"Asphalt Concrete Surface Course, Type C 3/4, 6-1/2"" Thick",Ton,
M3210280,"Asphalt Concrete Surface Course, Type C 3/4, 8"" Thick",Ton,
M3210300,"Asphalt Concrete Base Course, Type A 1-1/2",Ton,
M3210325,"Asphalt Concrete Base Course, Type A 1-1/2, 2-1/2"" Thick",Ton,
M3210330,"Asphalt Concrete Base Course, Type A 1-1/2, 3"" Thick",Ton,
M3210335,"Asphalt Concrete Base Course, Type A 1-1/2, 3-1/2"" Thick",Ton,
M3210340,"Asphalt Concrete Base Course, Type A 1-1/2, 4"" Thick",Ton,
M3210345,"Asphalt Concrete Base Course, Type A 1-1/2, 4-1/2"" Thick",Ton,
M3210350,"Asphalt Concrete Base Course, Type A 1-1/2, 5"" Thick",Ton,
M3210355,"Asphalt Concrete Base Course, Type A 1-1/2, 5-1/2"" Thick",Ton,
M3210360,"Asphalt Concrete Base Course, Type A 1-1/2, 6"" Thick",Ton,
M3210365,"Asphalt Concrete Base Course, Type A 1-1/2, 6-1/2"" Thick",Ton,
M3210370,"Asphalt Concrete Base Course, Type A 1-1/2, 7"" Thick",Ton,
M3210375,"Asphalt Concrete Base Course, Type A 1-1/2, 7-1/2"" Thick",Ton,
M3210380,"Asphalt Concrete Base Course, Type A 1-1/2, 8"" Thick",Ton,
M3210385,"Asphalt Concrete Base Course, Type A 1-1/2, 8-1/2"" Thick",Ton,
M3210390,"Asphalt Concrete Base Course, Type A 1-1/2, 9"" Thick",Ton,
M3210395,"Asphalt Concrete Base Course, Type A 1-1/2, 9-1/2"" Thick",Ton,
M3210396,"Asphalt Concrete Base Course, Type C 3/4, 3 1/2"" Thick",Ton,
M3211002,"Speed Hump, COP DTL SD-1",Sq. Yd.,
M3219000,Asphalt Cement Price Escalation Allowance,Job,
322,Asphalt Concrete Overlay,,
M3221125,Rubberized Asphalt Concrete Surface Course,Ton,
M3221126,Rubberized Asphalt Concrete Surface Course (for Alt. Area #1),Ton,
M3221150,Asphalt Concrete Overlay,Sq. Yd.,
324,Portland Cement Concrete Pavement,,
M3240011,"Portland Cement Concrete Pavement, Class A, 11"" Thick",Sq. Yd.,
M3240040,"4"" Class A Concrete with 6x6 - W1.4 Wire Mesh",Sq. Ft.,
M3240050,"Portland Cement Concrete Pavement, Class B, 5"" Thick(For Residental D/W)",Sq. Ft.,
M3240055,"Portland Cement Concrete Pavement, Class A, 5"" Thick",Sq. Yd.,
M3240060,"Portland Cement Concrete Pavement, Class A, 6"" Thick",Sq. Yd.,
M3240070,"Portland Cement Concrete Pavement, Class A, 7"" Thick",Sq. Yd.,
M3240080,"Portland Cement Concrete Pavement, Class A, 8"" Thick",Sq. Yd.,
M3240081,"Portland Cement Concrete Pavement, Class AA, 8"" Thick",Sq. Yd.,
M3240085,"Portland Cement Concrete Pavement, Class A, 8"" Thick,  Fiber Mesh Reinforced",Sq. Yd.,
M3240090,"Portland Cement Concrete Pavement, Class A, 9"" Thick",Sq. Yd.,
M3240091,"Portland Cement Concrete Pavement, Class A, 9"" Thick with Integral Color",Sq. Yd.,
M3240100,"Portland Cement Concrete Pavement, Class A, 10"" Thick",Sq. Yd.,
M3240120,"Portland Cement Concrete Pavement, Class A, 12"" Thick",Sq. Yd.,
M3241060,"Portland Cement Concrete Pavement, Class AA, 6"" Thick",Sq. Yd.,
M3241061,"Concrete Approach Slab, Class A, 6"" Thick",Sq. Ft.,
M3241062,"Portland Cement Concrete Pavement Class AA, 10"" Thick (4000 psi)",Sq. Yd.,
M3241063,"Concrete Area Drain Apron, per Detail",Each,
M3241065,"Portland Cement Concrete Pavement Class AA, 13"" Thick (4000 psi)",Sq. Yd.,
M3241090,"Portland Cement Concrete Pavement, Class AA, 9"" Thick (5,000psi)",Sq. Yd.,
M3241100,Concrete Approach Slab,Sq. Ft.,
M3241101,Portland Cement Concrete Connection,Sq. Ft.,
M3241102,Gravel Driveway Connection,Ton,
M3241120,"Portland Cement Concrete Pavement Class AA, 12"" Thick (5,000psi)",Sq. Yd.,
M3242001,Existing P.C. Concrete Pavement Joint Repair - Transverse,Lin. Ft.,
M3242005,Existing P.C. Concrete Pavement Joint Repair - Longitudinal,Lin. Ft.,
M3242010,"Existing P.C. Concrete Pavement Replacement, Bomanite",Sq. Yd.,
M3245050,"Pervious Concrete Pavement, Per Plans and Special Provisions",Sq. Yd.,
326,Polymer Modified Asphalt Concrete Pavement,,
M3260100,"Polymer Modified Asphalt Rubberized Concrete, 1/2"" Mix (Terminal Blend)",Ton,
329,Tack Coat,,
M3290100,"Emulsified Asphalt For Tack Coat, Type SS-1h",Ton,
M3290110,"Emulsified Asphalt For Tack Coat,
Type SS-1h (Diluted, One Part Water, One Part SS-1h)",Ton,
M3290200,"Tack Coat, AC-20",Ton,
330,Asphalt Chip Seal,,
M3300501,Liquid Asphalt (MC-800TR),Ton,
M3300502,Pre-Coated Chips,Ton,
M3300503,Liquid Asphalt (MC-250),Ton,
M3304100,Power Broom,Hour,
M3304101,Power Broom (for Dust Control & Prevention per Supplementary Conditions),Hour,
331,Microsurface,,
M3310100,Aggregate for Microsurface,Ton,
M3310110,Aggregate Stockpile Pad Waste,Ton,
M3310200,Emulsified Asphalt for Microsurface,Ton,
332,Asphalt Emulsion Slurry Seal Coat,,
M3320001,"Bituminous Tack Coat, Diluted",Ton,
M3320002,"Emulsified Asphalt for Slurry, Undiluted",Ton,
M3320003,Aggregate For Slurry,Ton,
M3320100,Emulsified Asphalt for Slurry,Ton,
M3320101,Emulsified Asphalt for Polymer Modified Slurry,Ton,
M3320200,Aggregate For Slurry Seal,Ton,
M3320201,Aggregate and Accelerator Combined for Modified Slurry,Ton,
M3320500,Single Application of MC-800TR and Pre-Coated Fractured Aggregate,Sq. Yd.,
333,Fog Seal Coats,,
M3330000,Emulsified Asphalt For Fog Seal,Ton,
M3337000,Sand Blotter,Ton,
M3337010,Blotter Material,Sq. Yd.,
334,Preservative Seal for Asphalt Concrete,,
M3340000,Asphalt Concrete Preservative Seal,Ton,
335,Hot Asphalt-Rubber Seal,,
M3350001,Hot Asphalt-Rubber Crack Seal,Sq. Yd.,
336,Pavement Matching and Surface Replacement,,
M3360115,"Asphalt Concrete For Permanent Pavement Replacement, Type D 1/2, 1-1/2"" Thick",Sq. Yd.,
M3360120,"Asphalt Concrete For Permanent Pavement Replacement, Type D 1/2, 2"" Thick",Sq. Yd.,
M3360125,"Asphalt Concrete For Permanent Pavement Replacement, Type D 1/2, 2-1/2"" Thick",Sq. Yd.,
M3360130,"Asphalt Concrete For Permanent Pavement Replacement, Type D 1/2, 3"" Thick",Sq. Yd.,
M3360135,"Asphalt Concrete For Permanent Pavement Replacement, Type D 1/2, 3"" Thick",Sq. Yd.,
M3360140,"Asphalt Concrete For Permanent Pavement Replacement, Type D 1/2, 4"" Thick",Sq. Yd.,
M3360210,"Sawcut, Remove and Replace A.C. Pavement",Sq. Yd.,
M3360211,"Sawcut, Remove and Replace A.C. Pavement",Sq. Yd.,
M3360212,Remove and Replace A.C. Pavement,SY,
M3360215,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 1-1/2"" Thick",Sq. Yd.,
M3360220,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 2"" Thick",Sq. Yd.,
M3360221,"Sawcut, Remove and Replace A.C. Pavement",Sq. Yd.,
M3360222,"Sawcut, Remove and Replace A.C. Pavement, MAG Det#200, Type ""A""",Sq. Yd.,
M3360223,"Sawcut, Remove and Replace A.C. Pavement, MAG Det #200, Type ""B""",Sq. Yd.,
M3360224,"Sawcut, Remove and Replace A.C. Pavement, C.O.P. Standard Detail P-1200",Sq. Yd.,
M3360225,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 2-1/2"" Thick",Sq. Yd.,
M3360230,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 3"" Thick",Sq. Yd.,
M3360235,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 3-1/2"" Thick",Sq. Yd.,
M3360236,"Asphalt Concrete for Pavement Replacement, 19mm Superpave",Sq. Yd.,
M3360240,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 4"" Thick",Sq. Yd.,
M3360245,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 4-1/2"" Thick",Sq. Yd.,
M3360250,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 5"" Thick",Sq. Yd.,
M3360260,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 6"" Thick",Sq. Yd.,
M3360265,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 6-1/2"" Thick",Sq. Yd.,
M3360270,"Asphalt Concrete for Permanent Pavement Replacement, Type C 3/4, 7"" Thick",Sq. Yd.,
M3360275,"Asphalt Concrete for Permanent Pavement Replacement, Type C-3/4, 7.5"" Thick",Sq. Yd.,
M3360280,"Asphalt Concrete For Permanent Pavement Replacement.  Type C-3/4, 8"" Thick",Sq. Yd.,
M3360285,"Asphalt Concrete for Permanent Pavement Replacement, Type C 3/4, 8.5"" Thick",Sq. Yd.,
M3360299,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 10"" Thick",Sq. Yd.,
M3360325,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 2-1/2"" Thick",Sq. Yd.,
M3360330,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 3"" Thick",Sq. Yd.,
M3360335,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 3-1/2"" Thick",Sq. Yd.,
M3360340,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 4"" Thick",Sq. Yd.,
M3360345,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 4-1/2"" Thick",Sq. Yd.,
M3360350,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 5"" Thick",Sq. Yd.,
M3360355,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 5-1/2"" Thick",Sq. Yd.,
M3360360,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 6"" Thick",Sq. Yd.,
M3360365,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 6-1/2"" Thick",Sq. Yd.,
M3360370,"Asphalt Concrete For Permanent Pavement Replacement, Per Special Provisions, 7"" Thick",Sq. Yd.,
M3360375,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 7-1/2"" Thick",Sq. Yd.,
M3360380,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 8"" Thick",Sq. Yd.,
M3360385,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 8-1/2"" Thick",Sq. Yd.,
M3360390,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 9"" Thick",Sq. Yd.,
M3360395,"Asphalt Concrete For Permanent Pavement Replacement, Type A 1-1/2, 9-1/2"" Thick",Sq. Yd.,
M3360399,"Asphalt Concrete For Permanent Pavement Replacement, Type C 3/4, 10"" Thick",Sq. Yd.,
M3361206,"Permanent Pavement Replacement Section: Type C-3/4 Asphalt Concrete, 2"" Thick Over 6"" ABC",Sq. Yd.,
M3361207,"Permanent Pavement Replacement Section: 19mm Asphalt Concrete, 3"" Thick Over 8"" ABC",Sq. Yd.,
M3362000,Type II Slurry Seal & Crack Seal,Sq. Yd.,
M3362002,Slurry Seal Coat,Sq. Ft.,
M3362100,Microseal Coat,Sq. Yd.,
M3362110,"Fog Seal Coat, Per MAG Section 333",Ton,
M3363000,Asphalt Rubber,Ton,
M3363100,Rubberized Asphalt Binder,Ton,
M3363300,Seal Coat per MAG 336 & 330,Sq. Yd.,
M3364000,"Preheated & Precoated Synthetic Lightweight Chips, 1/4""",Ton,
M3364010,"Preheated & Precoated Synthetic Lightweight Chips, 3/8""",Ton,
M3366969,Pavement Replacement per Typical Section,Sq. Yd.,
M3366970,"ABC or Decomposed Granite per MAG Detail 200, 6"" Thick",Sq. Yd.,
M3368500,Maintenance Road Surface Restoration,Sq. Yd.,
M3368501,Canal Maintenance Road,Job,
M3369045,"Asphalt Concrete For Permanent Pavement Replacement, Section 2: Type C 3/4, 4-1/2"" Thick",Sq. Yd.,
M3369085,"Asphalt Concrete For Permanent Pavement Replacement, Sect. 1: 1-1/2"" Type D 1/2 Over 9"" Type A 1
-1/2",Sq. Yd.,
M3369793,"Asphalt Concrete For Permanent Pavement Replacement, 3"" Thick, Per Special Provisions",Sq. Yd.,
M3369795,"Asphalt Concrete For Permanent Pavement Replacement, 5"" Thick, Per Special Provisions",Sq. Yd.,
M3369796,"Asphalt Concrete For Permanent Pavement Replacement, 6"" Thick, Per Special Provisions",Sq. Yd.,
