itemNumber,description,unit
2020057,REMOVE AND SALVAGE (,EACH
2020058,REMOVE AND SALVAGE (,L.FT.
2020059,REMOVE AND SALVAGE (,L.SUM
2020060,REMOVE AND SALVAGE (,EACH
2020061,REMOVE AND RELOCATE MAIL BOXES,EACH
2020065,REMOVAL OF TREES,EACH
2020066,REMOVAL OF TREES,L.SUM
2020067,REMOVAL OF TREES,ACRE
2020071,REMOVE GUARD RAIL,L.FT.
2020072,REMOVE AND SALVAGE GUARD RAIL,L.FT.
2020075,REMOVE BITUMINOUS PAVEMENT (MICRO-MILLING),SQ.YD.
2020077,REMOVE BITUMINOUS PAVEMENT FROM AC (MILLING FRICTION COURSE),SQ.YD.
2020078,REMOVE BITUMINOUS PAVEMENT FROM PCC (MILLING),SQ.YD.
2020079,REMOVE BITUMINOUS PAVEMENT (MILLING) (,SQ.YD.
2020080,"REMOVE BITUMINOUS PAVEMENT (MILLING)  (1/2"")",SQ.YD.
2020081,"REMOVE BITUMINOUS PAVEMENT (MILLING) (1"")",SQ.YD.
2020082,"REMOVE BITUMINOUS PAVEMENT (MILLING) (1 1/2"")",SQ.YD.
2020083,"REMOVE BITUMINOUS PAVEMENT (MILLING) (2"")",SQ.YD.
2020084,"REMOVE BITUMINOUS PAVEMENT (MILLING) (2 1/2"")",SQ.YD.
2020085,"REMOVE BITUMINOUS PAVEMENT (MILLING) (3"")",SQ.YD.
2020086,"REMOVE BITUMINOUS PAVEMENT (MILLING) (3 1/2 "")",SQ.YD.
2020087,"REMOVE BITUMINOUS PAVEMENT (MILLING) (4"")",SQ.YD.
2020088,"REMOVE BITUMINOUS PAVEMENT (MILLING) (4 1/2"" TO 6"")",SQ.YD.
2020089,"REMOVE BITUMINOUS PAVEMENT (MILLING) (6 1/2"" TO 8"")",SQ.YD.
2020090,REMOVAL OF SHORING AND BRACING,L.SUM
2020100,REMOVE FENCE (,L.FT.
2020101,REMOVE FENCE,L.FT.
2020102,REMOVE AND SALVAGE FENCE,L.FT.
2020112,REMOVE AND SALVAGE GATE,EACH
2020113,REMOVE AND SALVAGE (,EACH
2020115,REMOVE (,EACH
2020116,REMOVE (,EACH
2020117,REMOVE (,EACH
2020118,REMOVE (,EACH
2020120,REMOVE (,L.FT.
2020121,REMOVE (,L.FT.
2020122,REMOVE (,L.FT.
2020123,REMOVE (,L.FT.
2020124,REMOVE (,L.FT.
2020151,REMOVE DETOUR,L.SUM
2020152,REMOVE DETOUR,SQ.YD.
2020153,REMOVE (,L.SUM
2020154,REMOVE (,L.SUM
2020155,REMOVE (,EACH
2020156,REMOVE (,EACH
2020157,REMOVE (,EACH
2020158,REMOVE (,EACH
2020159,REMOVE (,EACH
2020160,REMOVE (,L.SUM
2020162,REMOVE (,SQ.YD.
2020163,REMOVE AND SALVAGE (,L.FT.
2020164,REMOVE (,L.FT.
2020165,REMOVE (,L.FT.
2020167,REMOVE (,L.FT.
2020168,REMOVE (,SQ.FT.
2020169,REMOVE (,SQ.FT.
2020170,REMOVE (,SQ.YD.
2020171,REMOVAL OF PUMP STATION,L.SUM
2020172,REMOVE (,SQ.YD.
2020173,REMOVE (,EACH
2020174,REMOVE (,L.SUM
2020175,REMOVAL OF LIGHT POLES (,EACH
2020181,ROADWAY OBLITERATION AND RESTORATION,L.SUM
2020183,REMOVE (,EACH
2020184,REMOVE (,EACH
2020185,REMOVE (,EACH
2020186,REMOVE (,EACH
2020187,REMOVE (,EACH
2020252,REMOVE BRIDGE DECK SURFACE (MECHANICAL MILLING),SQ.YD.
2020345,REMOVE (,CU.YD.
2020346,REMOVE (,CU.YD.
2020350,REMOVE (,ACRE
2020351,REMOVE (,ACRE
2020352,REMOVE (,ACRE
2020360,REMOVE ASBESTOS MATERIAL,L.SUM
2020361,REMOVE ASBESTOS CONCRETE PIPE,L.FT.
2020362,REMOVE ASBESTOS MATERIAL,SQ.FT.
2020365,REMOVE LEAD-BASED STRIPING,L.FT.
2020366,REMOVE LEAD-BASED PAINT MATERIALS,L.SUM
2020370,DISPOSE OF LEAD-BASED PAINT MATERIALS (FORCE ACCOUNT),L.SUM
2020400,REMOVE AND RELOCATE (,EACH
2020401,REMOVE AND RESET (,EACH
2020402,REMOVE AND RESET (,L.SUM
2030111,SHOULDER BUILD-UP (EARTHEN),L.FT.
2030112,SHOULDER BUILD-UP (MILLED AC),L.FT.
2030113,SHOULDER BUILD-UP (COMPACTION),HOUR
2030120,GRADER ROAD,L.FT.
2030201,EXCAVATION (,CU.YD.
2030202,EXCAVATION (,CU.YD.
2030205,EXCAVATION (,CU.YD.
2030301,ROADWAY EXCAVATION,CU.YD.
2030302,ROADWAY EXCAVATION (,CU.YD.
2030303,ROADWAY EXCAVATION (,CU.YD.
2030305,ROCK EXCAVATION,CU.YD.
2030401,DRAINAGE EXCAVATION,CU.YD.
2030402,DRAINAGE EXCAVATION (,CU.YD.
2030501,STRUCTURAL EXCAVATION,CU.YD.
2030502,STRUCTURAL EXCAVATION (,CU.YD.
2030506,STRUCTURE BACKFILL,CU.YD.
2030507,COMPACTED BACKFILL (,CU.YD.
2030508,STRUCTURE BACKFILL,CU.YD.
2030509,STRUCTURE BACKFILL (,CU.YD.
2030515,SPECIAL FOUNDATION BACKFILL (,CU.YD.
2030602,GRADER DITCH (,L.FT.
2030611,IRRIGATION DITCH,L.FT.
2030701,CROWN DITCH,L.FT.
2030706,CROWN DITCH (,L.FT.
2030711,DITCH (,L.FT.
2030712,DITCH (,L.FT.
2030801,CROWN DIKE (C-3.10),L.FT.
2030802,CROWN DIKE (,L.FT.
2030811,DYKE (TYPE A) (C-03.10),L.FT.
2030814,DYKE (TYPE B) (C-03.10),L.FT.
2030815,DIKE (SPECIAL),L.FT.
2030900,BORROW (,CU.YD.
2030901,BORROW (,CU.YD.
2030902,BORROW (,CU.YD.
2030904,BORROW (IN PLACE),CU.YD.
2030911,BORROW (FOR PLATING),CU.YD.
2030921,IRRIGATION BERM,L.FT.
2031004,GRADER ROAD,L.FT.
2031010,SHOULDER BUILD-UP,L.FT.
2031011,SHOULDER BUILD-UP (,L.FT.
2031031,GRADER ROAD,SQ.YD.
2032000,SLOPE IMPROVEMENTS (CONSTRUCTION OPERATIONS),L.SUM
2032001,SLOPE IMPROVEMENTS (FOREMAN),HOUR
2032002,SLOPE IMPROVEMENTS (HIGH SCALER),HOUR
2032003,SLOPE IMPROVEMENTS (SCALER-DRILLER),HOUR
2032004,SLOPE IMPROVEMENTS (FRONT END LOADER),HOUR
2032005,SLOPE IMPROVEMENTS (DUMP TRUCK),HOUR
2032006,SLOPE IMPROVEMENTS (POWER SWEEPER),HOUR
2032009,SLOPE IMPROVEMENTS (,HOUR
2032010,SLOPE IMPROVEMENTS (,HOUR
2040001,RESHAPING AND GRADING EXISTING IMPROVEMENTS,L.SUM
2040002,GRADING FOR DRAINAGE,SQ.YD.
2050001,GRADING ROADWAY FOR PAVEMENT,SQ.YD.
2050003,GRADING ROADWAY FOR PAVEMENT (,SQ.YD.
2050004,GRADING ROADWAY FOR PAVEMENT (,SQ.YD.
2050005,GRADING ROADWAY FOR PAVEMENT (,SQ.YD.
2050006,GRADING ROADWAY FOR PAVEMENT,L.SUM
2060001,FURNISH WATER SUPPLY,L.SUM
2060002,FURNISH WATER SUPPLY (,L.SUM
2080001,SEPARATION GEOTEXTILE FABRIC,SQ.YD.
2080031,GEOMEMBRANE,SQ.YD.
2090005,FURNISH WATER,M.GAL.
3010001,LIME TREATED SUBGRADE,SQ.YD.
3010002,LIME TREATED SUBGRADE,SQ.YD.
3010011,HYDRATED LIME FOR SUBGRADE TREATMENT,TON
3010012,QUICKLIME FOR SUBGRADE TREATMENT,TON
3020001,CEMENT TREATED SUBGRADE,SQ.YD.
3020003,CEMENT TREATED SUBGRADE,SQ.YD.
3020011,CEMENT FOR SUBGRADE TREATMENT,TON
3030001,"AGGREGATE BASE, CLASS 1",TON
3030002,"AGGREGATE BASE, CLASS 2",TON
3030003,"AGGREGATE BASE, CLASS 3",TON
3030005,"AGGREGATE SUBBASE, CLASS 5",TON
3030021,"AGGREGATE BASE, CLASS 1",CU.YD.
3030022,"AGGREGATE BASE, CLASS 2",CU.YD.
3030023,"AGGREGATE BASE, CLASS 3",CU.YD.
3030024,"AGGREGATE SUBBASE, CLASS 4",CU.YD.
3030025,"AGGREGATE SUBBASE, CLASS 5",CU.YD.
3030026,"AGGREGATE SUBBASE, CLASS 6",CU.YD.
3030102,AGGREGATE BASE (,CU.YD.
3030202,CRUSHED ROCK (FOR BALLAST),CU.YD.
3040001,CEMENT TREATED BASE,SQ.YD.
3040004,"CEMENT TREATED BASE (4"")",SQ.YD.
3040007,"CEMENT TREATED BASE (7"")",SQ.YD.
3040008,"CEMENT TREATED BASE (8"")",SQ.YD.
3040101,CEMENT TREATED BASE,CU.YD.
3040201,CEMENT TREATED BASE,L.FT.
3040301,CEMENT TREATED BASE,TON
3040501,CEMENT FOR CEMENT TREATED BASE,TON
3050001,LEAN CONCRETE BASE,SQ.YD.
3050006,"LEAN CONCRETE BASE (6"")",SQ.YD.
3060001,GEOGRID BASE REINFORCEMENT,SQ.YD.
3080001,BITUMINOUS TREATED BASE,TON
3080014,"BITUMINOUS TREATED BASE (4"")",SQ.YD.
3080015,"BITUMINOUS TREATED BASE (4 1/2"")",SQ.YD.
3080031,BITUMINOUS TREATED BASE (,SQ.YD.
4010004,"PORTLAND CEMENT CONCRETE PAVEMENT (4"")",SQ.YD.
4010006,"PORTLAND CEMENT CONCRETE PAVEMENT (6"")",SQ.YD.
4010007,"PORTLAND CEMENT CONCRETE PAVEMENT (7"")",SQ.YD.
4010008,"PORTLAND CEMENT CONCRETE PAVEMENT (8"")",SQ.YD.
4010009,"PORTLAND CEMENT CONCRETE PAVEMENT (9"")",SQ.YD.
4010010,"PORTLAND CEMENT CONCRETE PAVEMENT (10"")",SQ.YD.
4010011,"PORTLAND CEMENT CONCRETE PAVEMENT (11"")",SQ.YD.
4010012,"PORTLAND CEMENT CONCRETE PAVEMENT (12"")",SQ.YD.
4010013,"PORTLAND CEMENT CONCRETE PAVEMENT (13"")",SQ.YD.
4010015,"PORTLAND CEMENT CONCRETE PAVEMENT (15"")",SQ.YD.
4010016,PORTLAND CEMENT CONCRETE PAVEMENT (,SQ.YD.
4010019,PORTLAND CEMENT CONCRETE PAVEMENT (,SQ.YD.
4010020,PORTLAND CEMENT CONCRETE PAVEMENT (,SQ.YD.
4010028,PORTLAND CEMENT CONCRETE PAVEMENT (FOR BUS BAY),SQ.YD.
4010210,CRACK AND SEAT PORTLAND CEMENT CONCRETE PAVEMENT,SQ.YD.
4010301,LOAD TRANSFER DOWELS,EACH
4010310,LOAD TRANSFER DOWEL ASSEMBLY (,EACH
4010312,LOAD TRANSFER DOWEL ASSEMBLY (12-FT),EACH
4010314,LOAD TRANSFER DOWEL ASSEMBLY (14-FT),EACH
4010316,LOAD TRANSFER DOWEL ASSEMBLY (16-FT),EACH
4010318,LOAD TRANSFER DOWEL ASSEMBLY (18-FT),EACH
4020049,PORTLAND CEMENT CONCRETE PAVEMENT (DIAMOND GRINDING),SQ.YD.
4020050,RECONSTRUCT EXPANSION JOINT,L.FT.
4020051,RECONSTRUCT CONCRETE PAVEMENT JOINT,L.FT.
4020055,RECONSTRUCT CONCRETE PAVEMENT RELIEF JOINT,L.FT.
4020060,SEAL CRACKS IN PORTLAND CEMENT CONCRETE PAVEMENT,L.FT.
4020061,SEAL EDGE OF PORTLAND CEMENT CONCRETE PAVEMENT,L.FT.
4020062,SEAL EDGE OF PORTLAND CEMENT CONCRETE PAVEMENT (,L.FT.
4020072,REPAIR PORTLAND CEMENT CONCRETE PAVEMENT (SPALLED AREAS),SQ.FT.
4020073,REPAIR PORTLAND CEMENT CONCRETE PAVEMENT (,SQ.FT.
4020080,GROOVE PORTLAND CEMENT CONCRETE PAVEMENT,SQ.YD.
4020090,PORTLAND CEMENT CONCRETE PAVEMENT SLAB REPAIR,SQ.YD.
4026001,JOINT AND CRACK REPAIR,L.FT.
4026002,JOINT AND CRACK REPAIR (,L.FT.
4026003,JOINT AND CRACK REPAIR (,L.FT.
4040002,ASPHALT CEMENT (,TON
4040003,ASPHALT CEMENT (,TON
4040054,ASPHALT CEMENT (MODIFIED) (,TON
4040055,ASPHALT CEMENT (MODIFIED) (,TON
4040056,ASPHALT CEMENT (MODIFIED) (,TON
4040063,LIQUID ASPHALT (MC-800),TON
4040065,LIQUID ASPHALT (MC-250 OR MC-800)(FOR TACK COAT),TON
4040070,EMULSIFIED ASPHALT (FOR FOG COAT),TON
4040072,EMULSIFIED ASPHALT (SLURRY SEAL),TON
4040073,EMULSIFIED ASPHALT (CRS-2P),TON
4040074,EMULSIFIED ASPHALT (CRS-2),TON
4040075,EMULSIFIED ASPHALT (SS-1),TON
4040076,EMULSIFIED ASPHALT (MICRO-SURFACING),TON
4040077,EMULSIFIED ASPHALT (,TON
4040078,EMULSIFIED ASPHALT (FOR FOG COAT) (,TON
4040079,EMULSIFIED ASPHALT (LATEX MODIFIED),TON
4040081,RECYCLING AGENT (RA-1),TON
4040091,EMULSIFIED RECYCLING AGENT (ERA-1),TON
4040092,EMULSIFIED RECYCLING AGENT (ERA-5),TON
4040093,EMULSIFIED RECYCLING AGENT (ERA-25),TON
4040095,EMULSIFIED RECYCLING AGENT (,TON
4040101,PRIME COAT,TON
4040111,BITUMINOUS TACK COAT,TON
4040112,BITUMINOUS TACK COAT (,TON
4040116,APPLY BITUMINOUS TACK COAT,HOUR
4040125,FOG COAT,TON
4040126,FOG COAT (ERA-25),TON
4040127,FOG COAT (,TON
4040136,APPLY PROVISIONAL SEAL COAT,HOUR
4040151,REJUVENATING COAT,TON
4040156,SLURRY SEAL,SQ.YD.
4040158,COVER MATERIAL (SPECIAL) (,SQ.YD.
4040159,COVER MATERIAL,SQ.YD.
4040163,BLOTTER MATERIAL,TON
4040165,BLOTTER MATERIAL,SQ.YD.
4040170,AGGREGATE (,TON
4040171,DRY MINERAL AGGREGATE (MICRO-SURFACING) (,TON
4040172,DRY MINERAL AGGREGATE (MICRO-SURFACING) (,TON
4040174,DRY MINERAL AGGREGATE (SLURRY SEAL) (,TON
4040230,ASPHALT BINDER (,TON
4040232,ASPHALT BINDER (,TON
4040234,ASPHALT BINDER (,TON
4040256,ASPHALT BINDER (PG 58-28),TON
4040262,ASPHALT BINDER (PG 64-16),TON
4040264,ASPHALT BINDER (PG 64-22),TON
4040266,ASPHALT BINDER (PG 64-28),TON
4040268,ASPHALT BINDER (PG 64-34),TON
4040270,ASPHALT BINDER (PG 70-10),TON
4040272,ASPHALT BINDER (PG 70-16),TON
4040274,ASPHALT BINDER (PG 70-22),TON
4040276,ASPHALT BINDER (PG 70-28),TON
4040282,ASPHALT BINDER (PG 76-16),TON
4040284,ASPHALT BINDER (PG 76-22),TON
4040286,ASPHALT BINDER (PG 64-28 TR+),TON
4040288,ASPHALT BINDER (PG 70-22 TR+),TON
4040290,ASPHALT BINDER (PG 76-22 TR+),TON
4040291,ASPHALT BINDER (PG 64-28)(TR+)(S92),TON
4040292,ASPHALT BINDER (PG 70-22)(TR+)(S92),TON
4040293,ASPHALT BINDER (PG 70-22)(TR+)(SBS),TON
4040300,CRACK SEALING (ASPHALTIC CONCRETE PAVEMENT),L.FT.
4040301,SEAL CRACKS IN ASPHALTIC CONCRETE PAVEMENT,L.FT.
4040302,WIDE CRACK REPAIR USING HOT APPLIED MASTIC,LB.
4040305,SEAL CRACKS (POLYMER MODIFIED ASPHALT),LB.
4040310,JOINT SEALING (ASPHALTIC CONCRETE OVERLAY),L.FT.
4040401,ASPHALT CEMENT (FOR MEMBRANE SEAL) (RUBBERIZED),TON
4040415,STRESS ABSORBING MEMBRANE INTERLAYER FABRIC,L.FT.
4040420,HOT MIX ASPHALTIC CONCRETE (BONDED WEARING COURSE),TON
4040421,POLYMER MODIFIED EMULSIFIED ASPHALT MEMBRANE (BONDED WEARING COURSE),TON
4040425,MINERAL ADMIXTURE,TON
4050001,ROAD MIX BITUMINOUS PAVEMENT,TON
4050005,ROAD MIX BITUMINOUS TREATED BASE,SQ.YD.
4060009,ASPHALTIC CONCRETE (MISCELLANEOUS PAVING),TON
4060801,BITUMINOUS MIXED MATERIAL (FOR PAVEMENT REPLACEMENT),TON
4061001,PAVEMENT REPLACEMENT (MAG DET. 200-1) (TYPE A),SQ.YD.
4061003,PAVEMENT CUT & REPLACEMENT,SQ.YD.
4061004,PAVEMENT CUT & REPLACEMENT (,SQ.YD.
4061021,PAVEMENT CUT & REPLACEMENT (C-7.06),SQ.YD.
4070001,ASPHALTIC CONCRETE FRICTION COURSE,TON
4070002,ASPHALTIC CONCRETE FRICTION COURSE (,TON
4070006,ASPHALTIC CONCRETE FRICTION COURSE (,TON
4070021,MINERAL ADMIXTURE (,TON
4080001,RECYCLED ASPHALTIC CONCRETE,TON
4080002,RECYCLED ASPHALTIC CONCRETE (,TON
4080003,HOT IN-PLACE RECYCLED ASPHALTIC CONCRETE (,SQ.YD.
4080004,HOT IN-PLACE RECYCLED ASPHALTIC CONCRETE (,SQ.YD.
4080011,COLD RECYCLING (BITUMINOUS SURFACE),SQ.YD.
4080012,MILL AND MIX (,SQ.YD.
4090003,ASPHALTIC CONCRETE (MISCELLANEOUS STRUCTURAL),TON
4090004,ASPHALTIC CONCRETE (MISCELLANEOUS STRUCTURAL) (,TON
4090005,ASPHALTIC CONCRETE (MISCELLANEOUS STRUCTURAL) (,TON
4090006,ASPHALTIC CONCRETE (MISCELLANEOUS STRUCTURAL) (SPECIAL MIX),TON
4100100,ASPHALT RUBBER MATERIAL (FOR ASPHALT RUBBER MEMBRANE),TON
4100110,ASPHALT RUBBER MATERIAL (FOR ASPHALT RUBBER CHIP SEAL),TON
4100200,COVER MATERIAL (FOR ASPHALT RUBBER MATERIAL),CU.YD.
4110001,ASPHALTIC CONCRETE FRICTION COURSE (MISC.),TON
4122010,FABRIC MATERIAL (PAVEMENT FABRIC INTERLAYER),SQ.YD.
4122012,FABRIC MATERIAL (PAVEMENT FABRIC INTERLAYER) (,SQ.YD.
4122020,ASPHALT BINDER COAT (PAVEMENT FABRIC INTERLAYER),TON
4123040,APPLY ASPHALT BINDER (PAVEMENT FABRIC INTERLAYER),HOUR
4130040,ASPHALTIC CONCRETE (ASPHALT-RUBBER),TON
4130042,ASPHALT RUBBER MATERIAL (FOR AR-AC),TON
4130044,MINERAL ADMIXTURE (FOR AR-AC),TON
4140040,ASPHALTIC CONCRETE FRICTION COURSE (ASPHALT-RUBBER),TON
4140042,ASPHALT RUBBER MATERIAL (FOR AR-ACFC),TON
4140044,MINERAL ADMIXTURE (FOR AR-ACFC),TON
4150040,ASPHALTIC CONCRETE (ASPHALT- RUBBER) (END PRODUCT),TON
4150042,ASPHALT RUBBER MATERIAL (FOR AR-AC) (END PRODUCT),TON
4150044,MINERAL ADMIXTURE (FOR AR-AC) (END PRODUCT),TON
4160001,"ASPHALTIC CONCRETE (1/2"" MIX) (END PRODUCT)",TON
4160002,"ASPHALTIC CONCRETE (3/4"" MIX) (END PRODUCT)",TON
4160003,"ASPHALTIC CONCRETE (1/2"" MIX) (END PRODUCT) (SPECIAL MIX)",TON
4160004,"ASPHALTIC CONCRETE (3/4"" MIX) (END PRODUCT) (SPECIAL MIX)",TON
4160007,ASPHALTIC CONCRETE (BASE MIX) (END PRODUCT) (SPECIAL MIX),TON
4160008,ASPHALTIC CONCRETE (BASE MIX) (END PRODUCT),TON
4160009,ASPHALTIC CONCRETE (END PRODUCT) (,TON
4160010,ASPHALTIC CONCRETE (END PRODUCT) (,TON
4160031,MINERAL ADMIXTURE,TON
4170005,"ASPHALTIC CONCRETE (SHRP) (END PRODUCT) (1/2"" MIX)",TON
4170006,"ASPHALTIC CONCRETE (SHRP) (END PRODUCT) (3/4"" MIX)",TON
4170007,"ASPHALTIC CONCRETE (SHRP) (END PRODUCT) (1"" MIX)",TON
4170011,ASPHALTIC CONCRETE (SHRP) (END PRODUCT) (,TON
4170012,ASPHALTIC CONCRETE (SHRP) (END PRODUCT) (,TON
4170031,MINERAL ADMIXTURE,TON
5010002,"PIPE, CORRUGATED METAL,  8""",L.FT.
5010004,"PIPE, CORRUGATED METAL,  12""",L.FT.
5010005,"PIPE, CORRUGATED METAL,  15""",L.FT.
5010007,"PIPE, CORRUGATED METAL,  18""",L.FT.
5010008,"PIPE, CORRUGATED METAL,  18"" (",L.FT.
5010009,"PIPE, CORRUGATED METAL,  21""",L.FT.
5010011,"PIPE, CORRUGATED METAL,  24""",L.FT.
5010017,"PIPE, CORRUGATED METAL,  30""",L.FT.
5010025,"PIPE, CORRUGATED METAL,  36""",L.FT.
5010026,"PIPE, CORRUGATED METAL,  36"" (",L.FT.
5010030,"PIPE, CORRUGATED METAL,  42""",L.FT.
5010035,"PIPE, CORRUGATED METAL,  48""",L.FT.
5010040,"PIPE, CORRUGATED METAL,  54""",L.FT.
5010045,"PIPE, CORRUGATED METAL,  60""",L.FT.
5010050,"PIPE, CORRUGATED METAL,  66""",L.FT.
5010055,"PIPE, CORRUGATED METAL,  72""",L.FT.
5010060,"PIPE, CORRUGATED METAL,  78""",L.FT.
5010065,"PIPE, CORRUGATED METAL,  84""",L.FT.
5010069,"PIPE, CORRUGATED METAL,  90""",L.FT.
5010073,"PIPE, CORRUGATED METAL,  96""",L.FT.
5010076,"PIPE, CORRUGATED METAL,  102""",L.FT.
5010079,"PIPE, CORRUGATED METAL,  108""",L.FT.
5010084,"PIPE, CORRUGATED METAL,  120""",L.FT.
5010104,"PIPE, CORRUGATED METAL, SLOTTED, 12""",L.FT.
5010107,"PIPE, CORRUGATED METAL, SLOTTED, 18""",L.FT.
5010111,"PIPE, CORRUGATED METAL, SLOTTED, 24""",L.FT.
5010154,"PIPE, CORRUGATED METAL, PERFORATED, 12""",L.FT.
5010178,"PIPE, CORRAGATED METAL, PERFORATED, 48""",L.FT.
5010201,"PIPE, CORRUGATED METAL, 17"" X 13""",L.FT.
5010202,"PIPE, CORRUGATED METAL, 21"" X 15""",L.FT.
5010203,"PIPE, CORRUGATED METAL, 24"" X 18""",L.FT.
5010204,"PIPE, CORRUGATED METAL, 28"" X 20""",L.FT.
5010205,"PIPE, CORRUGATED METAL, 35"" X 24""",L.FT.
5010206,"PIPE, CORRUGATED METAL, 36"" X 22""",L.FT.
5010211,"PIPE, CORRUGATED METAL, 42"" X 29""",L.FT.
5010212,"PIPE, CORRUGATED METAL, 49"" X 33""",L.FT.
5010213,"PIPE, CORRUGATED METAL, 57"" X 38""",L.FT.
5010214,"PIPE, CORRUGATED METAL, 64"" X 43""",L.FT.
5010215,"PIPE, CORRUGATED METAL, 71"" X 47""",L.FT.
5010217,"PIPE, CORRUGATED METAL, 83"" X 57""",L.FT.
5010251,"PIPE, CORRUGATED METAL, 43"" X 27""",L.FT.
5010254,"PIPE, CORRUGATED METAL, 29"" X 18""",L.FT.
5010271,"PIPE, CORRUGATED METAL (",L.FT.
5010272,"PIPE, CORRUGATED METAL (",L.FT.
5010273,"PIPE, CORRUGATED METAL (",L.FT.
5010274,"PIPE, CORRUGATED METAL (",L.FT.
5010401,"PIPE, CORRUGATED STEEL, 24"" (SLEEVE)",L.FT.
5010405,"PIPE, CORRUGATED STEEL, 12"" (SLEEVE)",L.FT.
5010408,"PIPE, CORRUGATED STEEL, 8"" (SLEEVE)",L.FT.
5010600,"JACKING, BORING OR TUNNELING PIPE",L.FT.
5011002,"PIPE, REINFORCED CONCRETE, CLASS II, 12""",L.FT.
5011003,"PIPE, REINFORCED CONCRETE, CLASS III, 12""",L.FT.
5011004,"PIPE, REINFORCED CONCRETE, CLASS IV, 12""",L.FT.
5011005,"PIPE, REINFORCED CONCRETE, CLASS V, 12""",L.FT.
5011007,"PIPE, REINFORCED CONCRETE, CLASS II, 15""",L.FT.
5011008,"PIPE, REINFORCED CONCRETE, CLASS III, 15""",L.FT.
5011009,"PIPE, REINFORCED CONCRETE, CLASS IV, 15""",L.FT.
5011010,"PIPE, REINFORCED CONCRETE, CLASS V, 15""",L.FT.
5011012,"PIPE, REINFORCED CONCRETE, CLASS II, 18""",L.FT.
5011013,"PIPE, REINFORCED CONCRETE, CLASS III, 18""",L.FT.
5011014,"PIPE, REINFORCED CONCRETE, CLASS IV, 18""",L.FT.
5011015,"PIPE, REINFORCED CONCRETE, CLASS V, 18""",L.FT.
5011017,"PIPE, REINFORCED CONCRETE, CLASS II, 21""",L.FT.
5011019,"PIPE, REINFORCED CONCRETE, CLASS IV, 21""",L.FT.
5011020,"PIPE, REINFORCED CONCRETE, CLASS V, 21""",L.FT.
5011022,"PIPE, REINFORCED CONCRETE, CLASS II, 24""",L.FT.
5011023,"PIPE, REINFORCED CONCRETE, CLASS III, 24""",L.FT.
5011024,"PIPE, REINFORCED CONCRETE, CLASS IV, 24""",L.FT.
5011025,"PIPE, REINFORCED CONCRETE, CLASS V, 24""",L.FT.
